variableMetadata	database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	reliability	sample_mean	sample_sd	sample_CV	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV	PCA_XLOAD-p1	PCA_XLOAD-p2	gender_ttest_Male.Female_dif	gender_ttest_Male.Female_fdr	gender_ttest_Male.Female_sig	gender_OPLSDA_XLOAD-h1	gender_OPLSDA_XLOAD-o1	gender_OPLSDA_VIP_pred	gender_OPLSDA_VIP_ortho	gender_OPLSDA_COEFF	gender_tier_S
(2-methoxyethoxy)propanoic acid isomer					(2-methoxyethoxy)propanoic acid isomer	147.065655	NA	[(M-H)]-	1	4.75	4	2.13743243983351	0.76099783523919	0.356033632248262	453243.359568937	34664.1934521402	0.0764803117802057	0.214812042607469	0.0277437281048628	-0.00138877404885156	-0.154213464397451	0.282604921657774	0	-0.068158483611281	-0.0118112346050774	0.701005187605282	0.225548899007489	-0.0194922685724639	
(gamma)Glu-Leu/Ile					(gamma)Glu-Leu/Ile	259.128923	NA	[(M-H)]-	1	5.25	4	2.72415649309369	0.279224727468718	0.102499517989004	452195.939569403	22076.146424581	0.0488198687622067	0.476293642351023	0.113641503892785	0.104332442929268	0.133017405810648	0.00163031775256109	1	0.116225580355068	-0.110632477266007	1.19537188101193	1.10099713512572	0.0527279884438916	
1,3-Dimethyluric acid	CHEBI:68447	C7H8N4O3	Cn1c2[nH]c(=O)[nH]c2c(=O)n(C)c1=O	InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)	1,3-Dimethyluric acid	195.050844	NA	[(M-H)]-	1	4.67	5	3.53571270305896	0.582088907840927	0.164631279950242	3958832.73057705	187429.988817876	0.0473447608357414	0.287580591307137	0.0525876002027141	-0.140960360102996	0.0344881392330469	0.732759392072027	0	0.0601987057845129	-0.147487661157395	0.619139435125037	0.99425640719602	0.00619670558443484	
1,7-Dimethyluric acid	CHEBI:68449	C7H8N4O3	Cn1c2c([nH]c1=O)[nH]c(=O)n(C)c2=O	InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)	1,7-Dimethyluric acid	195.050844	NA	[(M-H)]-	1	4.96	5	4.05392310836375	0.479205113805589	0.118207746174793	13226373.1327088	683182.307044961	0.0516530344479282	0.436968270857219	0.0429247883967652	-0.17331093734836	-0.0813507559876641	0.325610033983988	0	0.00266714321133967	-0.144479694002648	0.0274313794581818	1.09864453452693	-0.0180140293236204	
1-Methyluric acid	CHEBI:68441	C6H6N4O3	Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O	InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)	1-Methyluric acid	181.035456	NA	[(M-H)]-	1	4.07	5	4.26412924354928	0.434715269250692	0.101947019994369	19413183.3946158	474103.190035138	0.0244217128328695	0.239552983836295	0.0695739553127114	-0.171290370558449	0.026082428034095	0.719319348103393	0	0.0578759856567165	-0.187499140865829	0.595250422742858	1.30444415697959	0.00701396788596675	
1-Methylxanthine	CHEBI:68444	C6H6N4O2	Cn1c(=O)[nH]c2nc[nH]c2c1=O	InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)	1-Methylxanthine	165.040382	NA	[(M-H)]-	1	4.23	5	4.07679599476304	0.446204510308881	0.109449800991284	13323461.9802182	418602.310538585	0.0314184339746004	0.287057936058762	0.0452899968920159	-0.185185628179637	0.0123326132783168	0.864647983162193	0	0.0453675737020909	-0.164778867090178	0.466602289681324	1.25570276249853	0.00286769916247628	
2,2-Dimethylglutaric acid	CHEBI:68459	C7H12O4	CC(C)(CCC(O)=O)C(O)=O	InChI=1S/C7H12O4/c1-7(2,6(10)11)4-3-5(8)9/h3-4H2,1-2H3,(H,8,9)(H,10,11)	2,2-Dimethylglutaric acid	159.065452	NA	[(M-H)]-	1	6.04	5	2.74504016554435	0.281858608366436	0.102679229216503	449322.231875397	45799.7101108014	0.101930656579446	0.992709600152155	0.0962263774763647	0.0573883966735493	0.0335662643644135	0.495733308811259	0	0.0231991278511285	-0.0870649924580442	0.238601390610568	0.924850719310099	0.0132202675922401	
2-acetamido-4-methylphenyl acetate	CHEBI:84085	C11H13NO3	CC(=O)Nc1cc(C)ccc1OC(C)=O	InChI=1S/C11H13NO3/c1-7-4-5-11(15-9(3)14)10(6-7)12-8(2)13/h4-6H,1-3H3,(H,12,13)	2-acetamido-4-methylphenyl acetate	206.08069	NA	[(M-H)]-	1	6.75	4	2.14783844889439	0.502916855421363	0.234150224696947	142114.364197747	11332.8064465639	0.0797442715276458	0.340568844769874	0.0671481599653866	-0.0637763372050362	-0.179658126605468	0.0352692899339046	1	-0.120305528552538	-0.0882040820529034	1.2373338599183	0.64346620472869	-0.0352439901845581	
2-Aminoadipic acid	CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	2-Aminoadipic acid	160.060993	NA	[(M-H)]-	1	1.05	5	2.26085737526799	0.191912889478327	0.0848850049444534	139934.119230129	10010.9718437086	0.0715406070998667	0.842794403401179	0.140260717344817	-0.00455376508724406	-0.0615791411483837	0.0406595391651593	1	-0.088217093455526	-0.146584685566277	0.907306572435956	1.10559321577024	-0.0340188305903718	
2-Hydroxybenzyl alcohol	CHEBI:16464	C7H8O2	OCc1ccccc1O	InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2	2-Hydroxybenzyl alcohol	123.045226	NA	[(M-H)]-	1	5.58	5	2.04831595083182	0.472259400397644	0.230559841222669	135935.170959699	7020.93330709271	0.0516491299310183	0.224016158482417	0.0399215692599392	-0.133796860144442	-0.057969649914388	0.518708055000639	0	-0.0248219299047523	-0.103859696410264	0.255291795058746	0.727331152844085	-0.0120806744964683	
